FAMILY_ID       FAMILY_SIZE     N_HITS  N_MEMBER_HITS   PRECISION       RECALL
347145	3	3	3	1	1	
347146	2	2	2	1	1	
347147	2	2	2	1	1	
347148	2	2	2	1	1	
347149	5	5	5	1	1	
347150	2	2	2	1	1	
347151	3	3	3	1	1	
347152	2	2	2	1	1	
347153	2	2	2	1	1	
347154	3	3	3	1	1	
347155	2	2	2	1	1	
347156	2	2	2	1	1	
347157	3	3	3	1	1	
347158	2	2	2	1	1	
347159	4	4	4	1	1	
347160	2	1	1	1	0.5	
347161	2	2	2	1	1	
347162	3	3	3	1	1	
347163	2	2	2	1	1	
347164	2	2	2	1	1	
347165	3	3	3	1	1	
347166	2	2	2	1	1	
347167	3	3	3	1	1	
347168	4	4	4	1	1	
347169	2	2	2	1	1	
347170	2	2	2	1	1	
347171	2	2	2	1	1	
347172	2	2	2	1	1	
347173	2	2	2	1	1	
347174	3	3	3	1	1	
347175	2	2	2	1	1	
347176	2	2	2	1	1	
347177	2	2	2	1	1	
347178	2	2	2	1	1	
347179	2	2	2	1	1	
347180	2	2	2	1	1	
347181	11	11	11	1	1	
347182	2	2	2	1	1	
347183	5	5	5	1	1	
347184	2	2	2	1	1	
347185	2	2	2	1	1	
347186	2	2	2	1	1	
347187	2	2	2	1	1	
347188	4	4	4	1	1	
347189	2	2	2	1	1	
347190	2	2	2	1	1	
347191	16	16	16	1	1	
347192	3	3	3	1	1	
347193	2	2	2	1	1	
347194	2	2	2	1	1	
347195	2	2	2	1	1	
347196	2	2	2	1	1	
347197	2	2	2	1	1	
347198	2	2	2	1	1	
347199	2	2	2	1	1	
347200	3	3	3	1	1	
347201	2	2	2	1	1	
347202	3	3	3	1	1	
347203	4	4	4	1	1	
347204	4	4	4	1	1	
347205	2	2	2	1	1	
347206	2	2	2	1	1	
347207	3	3	3	1	1	
347208	2	2	2	1	1	
347209	2	2	2	1	1	
347210	2	2	2	1	1	
347211	5	5	5	1	1	
347212	2	2	2	1	1	
347213	2	2	2	1	1	
347214	2	2	2	1	1	
347215	2	2	2	1	1	
347216	5	5	5	1	1	
347217	4	4	4	1	1	
347218	4	4	4	1	1	
347219	2	2	2	1	1	
347220	2	2	2	1	1	
347221	2	2	2	1	1	
347222	2	2	2	1	1	
347223	2	2	2	1	1	
347224	6	6	6	1	1	
347225	2	2	2	1	1	
347226	2	2	2	1	1	
347227	5	0	0	0	0	
347228	2	2	2	1	1	
347229	2	2	2	1	1	
347230	3	3	3	1	1	
347231	3	3	3	1	1	
347232	2	2	2	1	1	
347233	3	3	3	1	1	
347234	3	3	3	1	1	
347235	2	2	2	1	1	
347236	2	2	2	1	1	
347237	2	2	2	1	1	
347238	2	2	2	1	1	
347239	2	2	2	1	1	
347240	2	2	2	1	1	
347241	2	2	2	1	1	
347242	2	2	2	1	1	
347243	4	4	4	1	1	
347244	2	2	2	1	1	
347245	2	2	2	1	1	
347246	10	10	10	1	1	
347247	2	2	2	1	1	
347248	11	11	11	1	1	
347249	2	2	2	1	1	
347250	2	2	2	1	1	
347251	2	2	2	1	1	
347252	2	2	2	1	1	
347253	5	5	5	1	1	
347254	2	2	2	1	1	
347255	2	2	2	1	1	
347256	2	2	2	1	1	
347257	2	2	2	1	1	
347258	2	2	2	1	1	
347259	2	2	2	1	1	
347260	2	2	2	1	1	
347261	2	2	2	1	1	
347262	4	4	4	1	1	
